Section,#,Workflow / Feature,How It Runs,What to Test / Check,Expected Result,Status,Client Notes
1. ORDER SYNC,1.1,New Order Auto-Sync,"WooCommerce webhook fires on new order → BullMQ order-sync queue picks it up → Parses order details → Writes to Google Sheets Orders tab",Place a test order on the WooCommerce store,"Order row appears in Google Sheets 'Orders' tab within 1-2 minutes with all 17 columns filled (Order ID, Customer Name, Email, Phone, Product, Amount, Status=New, Ring Size, Metal Type, Stone Type, Engraving, Promised Delivery Date, etc.)",,
1. ORDER SYNC,1.2,Daily Reconciliation Sync,"Cron job runs at 2:00 AM IST daily → Fetches last 3 days of orders from WooCommerce → Compares with Sheets → Fills any gaps",Check the 'System Logs' tab next morning for a '2:00 AM daily sync' entry,"Log entry shows 'daily-sheets-sync' with count of orders processed. Any missing orders from past 3 days are now in the sheet",,
1. ORDER SYNC,1.3,Order Status Dropdown,"Google Sheets Orders tab has a Status column with dropdown: New → In Production → QC → Shipped → Delivered",Open Google Sheet → Orders tab → Click the Status cell of any order,"Dropdown appears with options: New, In Production, QC, Shipped, Delivered. Selecting a status triggers color-coded row highlighting",,
2. CUSTOMER COMMUNICATION,2.1,Order Confirmation (Immediate),"Order placed → notification queue → Sends WhatsApp template 'order_confirmation' + Email 'order-confirmation.hbs'",Place a test order. Check customer's WhatsApp and email inbox,"Customer receives: (1) WhatsApp message with order ID, product name, amount in INR (2) Branded HTML email with order summary and expected delivery date",,
2. CUSTOMER COMMUNICATION,2.2,Production Started Notification,"Order status changed to 'In Production' → notification queue → WhatsApp 'production_started' + Email 'production-started.hbs'",Change an order's status to 'In Production' in the Sheet or WooCommerce,"Customer receives: (1) WhatsApp: 'Your piece is now being crafted' with order details (2) Email: Branded production started notification",,
2. CUSTOMER COMMUNICATION,2.3,QC Passed Notification,"QC checklist all passed → notification queue → Email 'qc-passed.hbs'",Mark all 6 QC checkpoints as 'Pass' for an order,"Customer receives email: 'Almost ready for you' — quality certification notification",,
2. CUSTOMER COMMUNICATION,2.4,Shipped Notification,"Order status changed to 'Shipped' → notification queue → WhatsApp 'order_shipped' + Email 'shipped.hbs'",Change order status to 'Shipped' and add a tracking number,"Customer receives: (1) WhatsApp with tracking number + carrier link (2) Email with tracking URL and carrier details",,
2. CUSTOMER COMMUNICATION,2.5,Delivered Notification,"Order status changed to 'Delivered' → notification queue → WhatsApp 'order_delivered' + Email 'delivered.hbs'",Change order status to 'Delivered',"Customer receives: (1) WhatsApp: 'Hope you love it' + care instructions (2) Email: Delivery confirmation with jewelry care tips",,
2. CUSTOMER COMMUNICATION,2.6,Review Request (5-Day Delay),"Order delivered → 5-day delayed job in BullMQ → review-request queue → WhatsApp 'review_request' + Email 'review-request.hbs'. Safety net cron at 6:00 AM checks for missed reviews",Wait 5 days after marking 'Delivered' OR check the 6:00 AM cron log in System Logs tab,"Customer receives: (1) WhatsApp asking for a review with a link (2) Email with review request and direct link to review page",,
3. PRODUCTION TRACKING,3.1,Auto-Generated Production Task,"New order → production-tracking workflow → Creates row in 'Production' tab with all jewelry details pre-filled",Place an order with custom details (ring size, metal, engraving),"Production tab shows new row with: Order ID, Product Name, Ring Size, Metal Type, Stone Type, Engraving Text, Reference Image Link, Due Date (calculated from promised delivery), Assigned Craftsperson",,
3. PRODUCTION TRACKING,3.2,Craftsperson Assignment,"System auto-assigns craftsperson based on product type. Internal WhatsApp brief sent to production team",Check Production tab for 'Assigned To' column. Check production team WhatsApp,"Craftsperson name populated automatically. Production team receives WhatsApp brief with order details and reference images",,
3. PRODUCTION TRACKING,3.3,Production Status Updates,"Production tab has status column: Pending → In Progress → Completed",Update production status through the stages,"Status changes reflect in real-time. When marked 'Completed' → QC checklist is triggered automatically",,
4. QUALITY CONTROL,4.1,QC Checklist Auto-Creation,"Production completed → qc-tracking workflow → Creates 6-point checklist in 'QC' tab",Mark a production task as 'Completed',"QC tab shows new rows with 6 checkpoints: Dimensions, Finish, Stone Setting, Engraving, Polish, Packaging. Each has Pass/Fail column + Photo URL + Inspector field",,
4. QUALITY CONTROL,4.2,QC Pass Flow,"All 6 checkpoints marked 'Pass' → Order status updated → Ready for shipping",Mark all 6 QC items as 'Pass' for an order,"Order status automatically moves to ready for shipping. Customer receives QC Passed email notification",,
4. QUALITY CONTROL,4.3,QC Fail / Rework Flow,"Any checkpoint marked 'Fail' → Item routed back to Production with failure notes → Internal WhatsApp alert sent",Mark one QC checkpoint as 'Fail' and add notes,"(1) Order routed back to Production tab with rework notes (2) Internal WhatsApp alert 'qc_failed_alert' sent to team (3) QC history preserved — nothing deleted",,
5. SEO AUTOMATION,5.1,Auto Meta Title & Description,"New product added to WooCommerce → content-generation queue → OpenAI GPT-4o generates SEO meta title (max 60 chars) + description (max 160 chars) → Written to Yoast SEO fields",Add a new product to WooCommerce store,"Product's Yoast SEO fields populated with: (1) Meta title under 60 characters with target keywords (2) Meta description under 160 characters, compelling and keyword-rich",,
5. SEO AUTOMATION,5.2,FAQ Generation with Schema,"content-pipeline workflow → Generates 5 FAQ pairs → Injects JSON-LD FAQPage schema markup",Check product page source code after content generation runs,"Product page contains: (1) 5 relevant Q&A pairs visible on the page (2) JSON-LD FAQPage structured data in page source (test with Google Rich Results Test tool)",,
5. SEO AUTOMATION,5.3,Schema Markup (Product + Organization),"JSON-LD templates applied: product.json, organization.json, faq.json from seo/schema-templates/",Inspect page source or use Google's Structured Data Testing Tool,"Valid JSON-LD markup for: (1) Product schema (name, price, availability, brand) (2) Organization schema (SBEK brand info) (3) FAQ schema",,
5. SEO AUTOMATION,5.4,Weekly Content Batch,"Cron runs every Monday at 9:00 AM IST → Fetches all published products → Enqueues SEO/FAQ generation for each",Check 'System Logs' tab on Monday after 9 AM,"Log entry shows 'weekly-content-generation' with count of products processed. All products have updated SEO fields",,
6. AI SEARCH OPTIMIZATION (AEO),6.1,AEO Knowledge Base,"content-pipeline workflow → Generates brand knowledge base article in AI-readable format using aeo_brand_kb.txt prompt",Check for published AEO knowledge base content on the website,"AI-readable brand knowledge base page exists with: brand story, product categories, USPs, pricing ranges — optimized for ChatGPT/Perplexity/Google AI to cite",,
6. AI SEARCH OPTIMIZATION (AEO),6.2,Product Comparison Content,"content-pipeline workflow → Generates comparison articles between products/categories",Check for comparison content pages,"Comparison articles exist (e.g., 'Gold vs Platinum Rings') that AI assistants can reference when answering buyer queries",,
6. AI SEARCH OPTIMIZATION (AEO),6.3,FAQ Pages,"FAQ generation with structured markup → Published as dedicated FAQ pages",Search for SBEK on ChatGPT or Perplexity after content is indexed,"FAQ pages with proper schema markup are crawlable. Over time, AI search engines start citing SBEK in relevant jewelry queries",,
7. AD CREATIVE GENERATION,7.1,5 Creative Variants Auto-Generated,"Product added/triggered → creative-pipeline workflow → DALL-E 3 or Gemini generates 5 image variants using prompt templates from creatives/prompts/",Trigger creative generation for a product. Check Google Drive shared folder,"5 images generated: (1) White background — clean e-commerce style (2) Lifestyle — model wearing at elegant event (3) Festive — Diwali/wedding theme (4) Minimal text overlay — for adding copy (5) Story format — vertical 9:16 for Instagram/WhatsApp Stories",,
7. AD CREATIVE GENERATION,7.2,Multi-Platform Sizing,"Sharp image processor resizes each variant to 4 platform sizes from creatives/size-presets.json",Check the generated images in Google Drive,"Each variant available in: (1) Instagram Square 1080x1080 (2) Facebook Feed 1200x628 (3) Google Display 300x250 (4) Stories 1080x1920",,
7. AD CREATIVE GENERATION,7.3,Creatives Logged to Sheet,"Generated creatives metadata → written to Google Sheets 'Creatives' tab",Open Creatives tab in Google Sheets,"Each creative logged with: Product Name, Variant Type, Image URL, Google Drive Link, Generation Date, Status, Posted Date",,
8. SOCIAL MEDIA (POSTIZ),8.1,Auto-Upload to Postiz,"creative-pipeline → social-posting queue → Uploads image to Postiz API → Creates draft post with AI-generated caption",Log into Postiz dashboard after creatives are generated,"(1) Generated images appear in Postiz media library (2) Draft posts created with AI captions (3) Posts ready for team review before publishing",,
8. SOCIAL MEDIA (POSTIZ),8.2,Scheduled Publishing,"Team reviews draft in Postiz → Approves → Postiz publishes at scheduled time to Instagram/Facebook",Schedule a post in Postiz and wait for publish time,"Post goes live on connected Instagram/Facebook accounts at the scheduled time. Postiz dashboard shows 'Published' status",,
8. SOCIAL MEDIA (POSTIZ),8.3,Cross-Platform Analytics,"Postiz tracks performance after publishing",Check Postiz analytics after posts have been live for 24+ hours,"Engagement metrics visible: likes, comments, shares, reach — all in one Postiz dashboard",,
9. COMPETITOR MONITORING,9.1,Automated Weekly Crawl,"Cron runs Sunday 10:00 PM IST → Reads competitor URLs from Sheets 'Competitors' tab → Enqueues Playwright crawl for each",Check 'System Logs' tab on Monday morning for crawler entries,"Log entries show 'weekly-competitor-crawl' with each competitor URL processed. Crawler extracts: products, prices, blog posts, SEO metadata, navigation structure",,
9. COMPETITOR MONITORING,9.2,AI-Powered Analysis,"Crawl data + previous snapshot → OpenAI GPT-4o comparison → Detects: new products, price changes, content updates, SEO strategy shifts",Check 'Competitors' tab or System Logs for analysis results,"Analysis report for each competitor showing: (1) What changed since last crawl (2) New product launches (3) Price changes (4) Content/SEO strategy shifts (5) Actionable recommendations",,
9. COMPETITOR MONITORING,9.3,Significant Change Alerts,"If OpenAI analysis flags significant changes → WhatsApp alert sent to admin phone number",Wait for a competitor to make changes OR review historical alerts,"Admin receives WhatsApp alert like: 'Competitor X launched a new collection' or 'Competitor Y changed pricing on 15 products'",,
9. COMPETITOR MONITORING,9.4,Historical Tracking,"Each crawl snapshot stored in PostgreSQL competitor_snapshots table with timestamp","Compare this week's report with last week's — trends should be visible",Historical data preserved for trend analysis. Can track competitor patterns over weeks/months,,
10. ADMIN DASHBOARD & MONITORING,10.1,System Health Overview,"Next.js 15 dashboard on port 3002 → Polls /health/ready endpoint → Shows service status",Open the admin dashboard URL in browser,"Dashboard shows health status for: (1) Main App — green (2) Redis — green (3) PostgreSQL — green (4) Crawler — green. Any failures show red with error details",,
10. ADMIN DASHBOARD & MONITORING,10.2,Queue Monitoring,"Dashboard fetches /jobs/status → Shows all 7 BullMQ queues with job counts",Navigate to Queues page on dashboard,"All 7 queues visible: order-sync, notification, review-request, content-generation, creative-generation, social-posting, competitor-crawl. Each shows: Waiting, Active, Completed, Failed, Delayed counts",,
10. ADMIN DASHBOARD & MONITORING,10.3,Activity Feed,"Dashboard shows real-time job completions and failures with timestamps",Check Activity page on dashboard,"Chronological list of recent jobs: what ran, when, success/failure, duration. Failed jobs show error details and retry count",,
10. ADMIN DASHBOARD & MONITORING,10.4,Settings Management,"Dashboard Settings page → Shows all configured API keys (masked) → Allows runtime updates",Navigate to Settings page on dashboard,"All API keys listed (masked for security): WooCommerce, Google, WhatsApp, OpenAI, Gemini, Postiz, SMTP. Can update keys without restarting the system",,
10. ADMIN DASHBOARD & MONITORING,10.5,Cron Job History,"Dashboard shows cron execution history from PostgreSQL cron_runs table",Check System page on dashboard,"Table showing all cron runs: (1) 2:00 AM Daily Sheets Sync (2) 6:00 AM Daily Review Requests (3) 9:00 AM Monday Content Gen (4) 10:00 PM Sunday Competitor Crawl — each with last run time, items processed, success/failure",,
GOOGLE SHEETS TABS,S.1,Orders Tab (17 columns),"Auto-populated from WooCommerce webhooks + daily sync cron",Open Orders tab,"Columns: Order ID, Date, Customer Name, Email, Phone, Product, Qty, Amount (INR), Status, Ring Size, Metal Type, Stone Type, Engraving, Reference Image, Promised Delivery, Assigned To, Notes",,
GOOGLE SHEETS TABS,S.2,Production Tab,"Auto-populated when order enters production stage",Open Production tab,"Columns: Order ID, Product, Craftsperson, Start Date, Due Date, Status, Ring Size, Metal, Stones, Engraving, Reference Image, Priority, Completion Date, Notes",,
GOOGLE SHEETS TABS,S.3,QC Tab,"Auto-populated when production is completed",Open QC tab,"Columns: Order ID, Item, Checkpoint, Result (Pass/Fail), Photo URL, Inspector, Action Required, Date, Notes",,
GOOGLE SHEETS TABS,S.4,Customers Tab,"Auto-populated from orders + updated over time",Open Customers tab,"Columns: Customer ID, Name, Email, Phone, Total Orders, Total Spend (INR), Last Order Date, Tags, Notes",,
GOOGLE SHEETS TABS,S.5,Creatives Tab,"Auto-populated after ad creative generation",Open Creatives tab,"Columns: Product, Variant, Image URL, Drive Link, Size, Status, Generated Date, Posted Date, Platform, Notes",,
GOOGLE SHEETS TABS,S.6,System Logs Tab,"Auto-populated by every automation event",Open System Logs tab,"Columns: Timestamp, Level (INFO/WARN/ERROR), Source (which workflow), Message, Details",,
GOOGLE SHEETS TABS,S.7,Config Tab,"Pre-populated during setup. Editable by team",Open Config tab,"Columns: Key, Value, Description, Last Updated — Contains runtime settings like competitor URLs, notification preferences",,
GOOGLE SHEETS TABS,S.8,Competitors Tab,"Pre-populated with competitor URLs. Updated after each crawl",Open Competitors tab,"Columns: Name, URL, Category, Last Crawled Date, Notes — Should have 5-10 competitor entries",,